package,version,license
rc-textarea,1.10.2,MIT
rc-tooltip,6.4.0,MIT
rc-tree,5.13.1,MIT
rc-tree-select,5.27.0,MIT
rc-upload,4.11.0,MIT
rc-util,5.44.4,MIT
rc-virtual-list,3.19.2,MIT
react,18.3.1,MIT
react-dom,18.3.1,MIT
react-i18next,15.7.4,MIT
react-is,17.0.2,MIT
react-is,18.3.1,MIT
react-is,19.2.8,MIT
react-konva,18.2.16,MIT
react-reconciler,0.29.2,MIT
react-refresh,0.17.0,MIT
react-router,7.18.2,MIT
redent,3.0.0,MIT
require-directory,2.1.1,MIT
require-from-string,2.0.2,MIT
resize-observer-polyfill,1.5.1,MIT
resolve-from,4.0.0,MIT
restore-cursor,5.1.0,MIT
rettime,0.11.11,MIT
rfdc,1.4.1,MIT
rollup,4.62.4,MIT
rrweb-cssom,0.8.0,MIT
safer-buffer,2.1.2,MIT
saxes,6.0.0,ISC
scheduler,0.23.2,MIT
scroll-into-view-if-needed,3.1.0,MIT
semver,6.3.1,ISC
semver,7.8.5,ISC
set-cookie-parser,2.7.2,MIT
set-cookie-parser,3.1.2,MIT
shebang-command,2.0.0,MIT
shebang-regex,3.0.0,MIT
siginfo,2.0.0,ISC
signal-exit,4.1.0,ISC
slice-ansi,7.1.2,MIT
slice-ansi,8.0.0,MIT
source-map-js,1.2.1,BSD-3-Clause
stackback,0.0.2,MIT
statuses,2.0.2,MIT
std-env,3.10.0,MIT
strict-event-emitter,0.5.1,MIT
string-argv,0.3.2,MIT
string-convert,0.2.1,MIT
string-width,4.2.3,MIT
string-width,5.1.2,MIT
string-width,7.2.0,MIT
string-width,8.2.2,MIT
strip-ansi,6.0.1,MIT
strip-ansi,7.2.0,MIT
strip-indent,3.0.0,MIT
strip-json-comments,3.1.1,MIT
strip-literal,3.1.0,MIT
stylis,4.4.0,MIT
supports-color,10.2.2,MIT
supports-color,7.2.0,MIT
symbol-tree,3.2.4,MIT
tagged-tag,1.0.0,MIT
test-exclude,7.0.2,ISC
throttle-debounce,5.0.2,MIT
tinybench,2.9.0,MIT
tinyexec,0.3.2,MIT
tinyexec,1.3.0,MIT
tinyglobby,0.2.17,MIT
tinypool,1.1.1,MIT
tinyrainbow,2.0.0,MIT
tinyspy,4.0.4,MIT
tldts,6.1.86,MIT
tldts,7.4.10,MIT
tldts-core,6.1.86,MIT
tldts-core,7.4.10,MIT
toggle-selection,1.0.6,MIT
tough-cookie,5.1.2,BSD-3-Clause
tough-cookie,6.0.2,BSD-3-Clause
tr46,0.0.3,MIT
tr46,5.1.1,MIT
ts-api-utils,2.5.0,MIT
type-check,0.4.0,MIT
type-fest,4.41.0,(MIT OR CC0-1.0)
type-fest,5.8.0,(MIT OR CC0-1.0)
typescript,5.9.3,Apache-2.0
typescript-eslint,8.66.0,MIT
undici-types,6.21.0,MIT
until-async,3.0.2,MIT
update-browserslist-db,1.3.0,MIT
uplot,1.6.32,MIT
uri-js,4.4.1,BSD-2-Clause
uri-js-replace,1.0.1,MIT
vite,6.4.3,MIT
vite-node,3.2.4,MIT
vitest,3.2.7,MIT
void-elements,3.1.0,MIT
w3c-xmlserializer,5.0.0,MIT
webidl-conversions,3.0.1,BSD-2-Clause
webidl-conversions,7.0.0,BSD-2-Clause
whatwg-encoding,3.1.1,MIT
whatwg-mimetype,4.0.0,MIT
whatwg-url,14.2.0,MIT
whatwg-url,5.0.0,MIT
which,2.0.2,ISC
why-is-node-running,2.3.0,MIT
word-wrap,1.2.5,MIT
wrap-ansi,7.0.0,MIT
wrap-ansi,8.1.0,MIT
wrap-ansi,9.0.2,MIT
ws,8.21.2,MIT
xml-name-validator,5.0.0,Apache-2.0
xmlchars,2.2.0,MIT
y18n,5.0.8,ISC
yallist,3.1.1,ISC
yaml,2.9.0,ISC
yaml-ast-parser,0.0.43,Apache-2.0
yargs,17.7.3,MIT
yargs-parser,21.1.1,ISC
yocto-queue,0.1.0,MIT
zustand,5.0.14,MIT
